Time,Oxygen Level,Pulse Rate,Motion,O2 Reminder,PR Reminder
19:45:31 Feb 03 2021,97,42,3,0,0
19:45:33 Feb 03 2021,97,42,1,0,0
19:45:35 Feb 03 2021,97,43,13,0,0
19:45:37 Feb 03 2021,97,43,7,0,0
19:45:39 Feb 03 2021,97,43,3,0,0
19:45:41 Feb 03 2021,97,43,0,0,0
19:45:43 Feb 03 2021,96,43,0,0,0
19:45:45 Feb 03 2021,97,43,0,0,0
19:45:47 Feb 03 2021,97,43,0,0,0
19:45:49 Feb 03 2021,97,43,1,0,0
19:45:51 Feb 03 2021,97,43,0,0,0
19:45:53 Feb 03 2021,96,43,5,0,0
19:45:55 Feb 03 2021,96,43,10,0,0
19:45:57 Feb 03 2021,96,43,0,0,0
19:45:59 Feb 03 2021,96,43,0,0,0
19:46:01 Feb 03 2021,96,43,0,0,0
19:46:03 Feb 03 2021,96,43,0,0,0
19:46:05 Feb 03 2021,96,43,0,0,0
19:46:07 Feb 03 2021,96,43,0,0,0
19:46:09 Feb 03 2021,97,43,0,0,0
19:46:11 Feb 03 2021,97,43,0,0,0
19:46:13 Feb 03 2021,97,43,0,0,0
19:46:15 Feb 03 2021,97,43,0,0,0
19:46:17 Feb 03 2021,96,43,3,0,0
19:46:19 Feb 03 2021,96,43,0,0,0
19:46:21 Feb 03 2021,96,43,0,0,0
19:46:23 Feb 03 2021,96,43,0,0,0
19:46:25 Feb 03 2021,98,65,0,0,0
19:46:27 Feb 03 2021,99,63,0,0,0
19:46:29 Feb 03 2021,99,62,0,0,0
19:46:31 Feb 03 2021,99,61,0,0,0
19:46:33 Feb 03 2021,99,61,0,0,0
19:46:35 Feb 03 2021,99,63,0,0,0
19:46:37 Feb 03 2021,99,64,0,0,0
19:46:39 Feb 03 2021,99,65,0,0,0
19:46:41 Feb 03 2021,99,65,0,0,0
19:46:43 Feb 03 2021,99,65,0,0,0
19:46:45 Feb 03 2021,99,65,0,0,0
19:46:47 Feb 03 2021,99,65,0,0,0
19:46:49 Feb 03 2021,99,65,0,0,0
19:46:51 Feb 03 2021,99,66,0,0,0
19:46:53 Feb 03 2021,99,66,0,0,0
19:46:55 Feb 03 2021,99,66,0,0,0
19:46:57 Feb 03 2021,99,65,0,0,0
19:46:59 Feb 03 2021,99,65,0,0,0
19:47:01 Feb 03 2021,99,65,0,0,0
19:47:03 Feb 03 2021,99,65,0,0,0
19:47:05 Feb 03 2021,99,65,0,0,0
19:47:07 Feb 03 2021,99,65,0,0,0
19:47:09 Feb 03 2021,99,62,0,0,0
19:47:11 Feb 03 2021,98,63,0,0,0
19:47:13 Feb 03 2021,98,63,0,0,0
19:47:15 Feb 03 2021,98,62,0,0,0
19:47:17 Feb 03 2021,98,62,0,0,0
19:47:19 Feb 03 2021,98,62,0,0,0
19:47:21 Feb 03 2021,98,62,0,0,0
19:47:23 Feb 03 2021,98,62,0,0,0
19:47:25 Feb 03 2021,98,62,1,0,0
19:47:27 Feb 03 2021,98,62,2,0,0
19:47:29 Feb 03 2021,98,62,0,0,0
19:47:31 Feb 03 2021,98,62,1,0,0
19:47:33 Feb 03 2021,98,62,0,0,0
19:47:35 Feb 03 2021,98,62,0,0,0
19:47:37 Feb 03 2021,98,62,4,0,0
19:47:39 Feb 03 2021,98,62,1,0,0
19:47:41 Feb 03 2021,97,62,2,0,0
19:47:43 Feb 03 2021,97,62,1,0,0
19:47:45 Feb 03 2021,97,62,0,0,0
19:47:47 Feb 03 2021,97,62,0,0,0
19:47:49 Feb 03 2021,97,62,13,0,0
19:47:51 Feb 03 2021,97,62,9,0,0
19:47:53 Feb 03 2021,97,62,0,0,0
19:47:55 Feb 03 2021,97,62,0,0,0
19:47:57 Feb 03 2021,97,62,0,0,0
19:47:59 Feb 03 2021,97,62,0,0,0
19:48:01 Feb 03 2021,97,61,0,0,0
19:48:03 Feb 03 2021,97,61,0,0,0
19:48:05 Feb 03 2021,97,61,0,0,0
19:48:07 Feb 03 2021,97,61,0,0,0
19:48:09 Feb 03 2021,96,57,0,0,0
19:48:11 Feb 03 2021,97,56,1,0,0
19:48:13 Feb 03 2021,97,55,0,0,0
19:48:15 Feb 03 2021,97,54,0,0,0
19:48:17 Feb 03 2021,97,55,3,0,0
19:48:19 Feb 03 2021,97,55,0,0,0
19:48:21 Feb 03 2021,97,55,0,0,0
19:48:23 Feb 03 2021,97,54,0,0,0
19:48:25 Feb 03 2021,97,55,0,0,0
19:48:27 Feb 03 2021,97,55,0,0,0
19:48:29 Feb 03 2021,97,53,0,0,0
19:48:31 Feb 03 2021,97,50,0,0,0
19:48:33 Feb 03 2021,97,48,0,0,0
19:48:35 Feb 03 2021,97,48,0,0,0
19:48:37 Feb 03 2021,97,48,0,0,0
19:48:39 Feb 03 2021,97,48,0,0,0
19:48:41 Feb 03 2021,97,45,0,0,0
19:48:43 Feb 03 2021,97,48,0,0,0
19:48:45 Feb 03 2021,97,52,0,0,0
19:48:47 Feb 03 2021,97,53,0,0,0
19:48:49 Feb 03 2021,97,57,0,0,0
19:48:51 Feb 03 2021,97,59,0,0,0
19:48:53 Feb 03 2021,98,68,0,0,0
19:48:55 Feb 03 2021,98,68,0,0,0
19:48:57 Feb 03 2021,98,68,0,0,0
19:48:59 Feb 03 2021,98,71,0,0,0
19:49:01 Feb 03 2021,98,65,0,0,0
19:49:03 Feb 03 2021,98,67,0,0,0
19:49:05 Feb 03 2021,98,64,0,0,0
19:49:07 Feb 03 2021,98,63,0,0,0
19:49:09 Feb 03 2021,98,71,0,0,0
19:49:11 Feb 03 2021,98,78,1,0,0
19:49:13 Feb 03 2021,98,81,7,0,0
19:49:15 Feb 03 2021,98,78,8,0,0
19:49:17 Feb 03 2021,98,78,7,0,0
19:49:19 Feb 03 2021,98,77,17,0,0
19:49:21 Feb 03 2021,98,79,12,0,0
19:49:23 Feb 03 2021,98,81,6,0,0
19:49:25 Feb 03 2021,98,82,2,0,0
19:49:27 Feb 03 2021,98,83,1,0,0
19:49:29 Feb 03 2021,98,82,10,0,0
19:49:31 Feb 03 2021,98,82,6,0,0
19:49:33 Feb 03 2021,98,82,5,0,0
19:49:35 Feb 03 2021,98,82,4,0,0
19:49:37 Feb 03 2021,98,82,15,0,0
19:49:39 Feb 03 2021,98,83,9,0,0
19:49:41 Feb 03 2021,98,83,7,0,0
19:49:43 Feb 03 2021,98,83,8,0,0
19:49:45 Feb 03 2021,98,83,6,0,0
19:49:47 Feb 03 2021,98,83,8,0,0
19:49:49 Feb 03 2021,98,81,10,0,0
19:49:51 Feb 03 2021,98,80,4,0,0
19:49:53 Feb 03 2021,98,78,4,0,0
19:49:55 Feb 03 2021,98,79,3,0,0
19:49:57 Feb 03 2021,98,80,3,0,0
19:49:59 Feb 03 2021,98,81,2,0,0
19:50:01 Feb 03 2021,98,80,11,0,0
19:50:03 Feb 03 2021,98,83,4,0,0
19:50:05 Feb 03 2021,98,81,13,0,0
19:50:07 Feb 03 2021,98,81,0,0,0
19:50:09 Feb 03 2021,98,81,0,0,0
19:50:11 Feb 03 2021,98,81,0,0,0
19:50:13 Feb 03 2021,98,81,0,0,0
19:50:15 Feb 03 2021,98,83,0,0,0
19:50:17 Feb 03 2021,98,84,0,0,0
19:50:19 Feb 03 2021,98,82,0,0,0
19:50:21 Feb 03 2021,98,81,0,0,0
19:50:23 Feb 03 2021,98,82,1,0,0
19:50:25 Feb 03 2021,98,75,1,0,0
19:50:27 Feb 03 2021,98,71,0,0,0
19:50:29 Feb 03 2021,98,72,3,0,0
19:50:31 Feb 03 2021,98,72,7,0,0
19:50:33 Feb 03 2021,98,72,1,0,0
19:50:35 Feb 03 2021,98,72,3,0,0
19:50:37 Feb 03 2021,98,72,6,0,0
19:50:39 Feb 03 2021,98,72,7,0,0
19:50:41 Feb 03 2021,98,72,5,0,0
19:50:43 Feb 03 2021,98,69,3,0,0
19:50:45 Feb 03 2021,98,66,3,0,0
19:50:47 Feb 03 2021,98,64,10,0,0
19:50:49 Feb 03 2021,98,64,14,0,0
19:50:51 Feb 03 2021,98,64,6,0,0
19:50:53 Feb 03 2021,98,64,1,0,0
19:50:55 Feb 03 2021,98,64,3,0,0
19:50:57 Feb 03 2021,98,64,3,0,0
19:50:59 Feb 03 2021,98,64,6,0,0
19:51:01 Feb 03 2021,98,64,0,0,0
19:51:03 Feb 03 2021,98,64,0,0,0
19:51:05 Feb 03 2021,98,65,10,0,0
19:51:07 Feb 03 2021,98,65,21,0,0
