Time,Oxygen Level,Pulse Rate,Motion,O2 Reminder,PR Reminder
18:07:00 Jan 05 2021,94,54,0,0,0
18:07:02 Jan 05 2021,94,54,0,0,0
18:07:04 Jan 05 2021,94,54,0,0,0
18:07:06 Jan 05 2021,94,54,0,0,0
18:07:08 Jan 05 2021,94,54,0,0,0
18:07:10 Jan 05 2021,94,54,0,0,0
18:07:12 Jan 05 2021,94,54,0,0,0
18:07:14 Jan 05 2021,94,55,0,0,0
18:07:16 Jan 05 2021,94,55,0,0,0
18:07:18 Jan 05 2021,94,55,0,0,0
18:07:20 Jan 05 2021,94,54,0,0,0
18:07:22 Jan 05 2021,94,53,1,0,0
18:07:24 Jan 05 2021,94,52,0,0,0
18:07:26 Jan 05 2021,94,51,0,0,0
18:07:28 Jan 05 2021,94,52,0,0,0
18:07:30 Jan 05 2021,94,51,0,0,0
18:07:32 Jan 05 2021,94,51,0,0,0
18:07:34 Jan 05 2021,94,51,0,0,0
18:07:36 Jan 05 2021,94,50,0,0,0
18:07:38 Jan 05 2021,94,48,0,0,0
18:07:40 Jan 05 2021,93,44,0,0,0
18:07:42 Jan 05 2021,93,41,1,0,0
18:07:44 Jan 05 2021,93,41,1,0,0
18:07:46 Jan 05 2021,93,41,0,0,0
18:07:48 Jan 05 2021,93,41,0,0,0
18:07:50 Jan 05 2021,93,41,1,0,0
18:07:52 Jan 05 2021,93,41,0,0,0
18:07:54 Jan 05 2021,93,41,0,0,0
18:07:56 Jan 05 2021,93,41,0,0,0
18:07:58 Jan 05 2021,93,41,0,0,0
18:08:00 Jan 05 2021,93,42,1,0,0
18:08:02 Jan 05 2021,93,42,0,0,0
18:08:04 Jan 05 2021,93,43,0,0,0
18:08:06 Jan 05 2021,93,42,0,0,0
18:08:08 Jan 05 2021,92,42,0,0,0
18:08:10 Jan 05 2021,93,42,0,0,0
18:08:12 Jan 05 2021,93,42,1,0,0
18:08:14 Jan 05 2021,93,42,1,0,0
18:08:16 Jan 05 2021,93,42,0,0,0
18:08:18 Jan 05 2021,93,42,1,0,0
18:08:20 Jan 05 2021,93,41,0,0,0
18:08:22 Jan 05 2021,93,41,1,0,0
18:08:24 Jan 05 2021,93,42,0,0,0
18:08:26 Jan 05 2021,93,46,0,0,0
18:08:28 Jan 05 2021,93,49,0,0,0
18:08:30 Jan 05 2021,93,56,0,0,0
18:08:32 Jan 05 2021,93,63,0,0,0
18:08:34 Jan 05 2021,93,59,0,0,0
18:08:36 Jan 05 2021,93,67,0,0,0
18:08:38 Jan 05 2021,94,69,0,0,0
18:08:40 Jan 05 2021,94,72,0,0,0
18:08:42 Jan 05 2021,93,74,0,0,0
18:08:44 Jan 05 2021,93,77,0,0,0
18:08:46 Jan 05 2021,92,79,1,0,0
18:08:48 Jan 05 2021,92,80,0,0,0
18:08:50 Jan 05 2021,92,79,1,0,0
18:08:52 Jan 05 2021,92,78,1,0,0
18:08:54 Jan 05 2021,92,77,0,0,0
18:08:56 Jan 05 2021,92,76,0,0,0
18:08:58 Jan 05 2021,93,77,0,0,0
18:09:00 Jan 05 2021,93,75,0,0,0
18:09:02 Jan 05 2021,93,75,1,0,0
18:09:04 Jan 05 2021,93,75,0,0,0
18:09:06 Jan 05 2021,93,74,1,0,0
18:09:08 Jan 05 2021,92,75,1,0,0
18:09:10 Jan 05 2021,92,77,0,0,0
18:09:12 Jan 05 2021,91,80,1,0,0
18:09:14 Jan 05 2021,91,80,0,0,0
