Time,Oxygen Level,Pulse Rate,Motion,O2 Reminder,PR Reminder
04:02:50 Jan 06 2021,96,67,6,0,0
04:02:52 Jan 06 2021,96,65,9,0,0
04:02:54 Jan 06 2021,96,64,1,0,0
04:02:56 Jan 06 2021,96,65,0,0,0
04:02:58 Jan 06 2021,96,66,0,0,0
04:03:00 Jan 06 2021,96,65,0,0,0
04:03:02 Jan 06 2021,96,65,0,0,0
04:03:04 Jan 06 2021,96,65,8,0,0
04:03:06 Jan 06 2021,96,65,13,0,0
04:03:08 Jan 06 2021,96,65,15,0,0
04:03:10 Jan 06 2021,96,65,3,0,0
04:03:12 Jan 06 2021,96,65,2,0,0
04:03:14 Jan 06 2021,96,65,0,0,0
04:03:16 Jan 06 2021,96,65,9,0,0
04:03:18 Jan 06 2021,96,65,0,0,0
04:03:20 Jan 06 2021,96,65,1,0,0
04:03:22 Jan 06 2021,96,65,0,0,0
04:03:24 Jan 06 2021,96,65,0,0,0
04:03:26 Jan 06 2021,96,65,0,0,0
04:03:28 Jan 06 2021,96,65,0,0,0
04:03:30 Jan 06 2021,97,70,3,0,0
04:03:32 Jan 06 2021,97,73,19,0,0
04:03:34 Jan 06 2021,97,78,2,0,0
04:03:36 Jan 06 2021,97,79,3,0,0
04:03:38 Jan 06 2021,97,79,3,0,0
04:03:40 Jan 06 2021,97,83,1,0,0
04:03:42 Jan 06 2021,97,86,3,0,0
04:03:44 Jan 06 2021,97,88,1,0,0
04:03:46 Jan 06 2021,97,91,4,0,0
04:03:48 Jan 06 2021,97,89,2,0,0
04:03:50 Jan 06 2021,97,89,0,0,0
04:03:52 Jan 06 2021,97,89,15,0,0
04:03:54 Jan 06 2021,97,89,2,0,0
04:03:56 Jan 06 2021,97,89,0,0,0
04:03:58 Jan 06 2021,97,89,0,0,0
04:04:00 Jan 06 2021,97,87,0,0,0
04:04:02 Jan 06 2021,97,91,0,0,0
04:04:04 Jan 06 2021,97,91,0,0,0
04:04:06 Jan 06 2021,97,85,0,0,0
04:04:08 Jan 06 2021,97,82,0,0,0
04:04:10 Jan 06 2021,97,79,0,0,0
04:04:12 Jan 06 2021,97,75,0,0,0
04:04:14 Jan 06 2021,97,78,0,0,0
04:04:16 Jan 06 2021,97,78,0,0,0
04:04:18 Jan 06 2021,97,78,0,0,0
04:04:20 Jan 06 2021,97,78,0,0,0
04:04:22 Jan 06 2021,96,74,0,0,0
04:04:24 Jan 06 2021,96,68,0,0,0
04:04:26 Jan 06 2021,96,65,0,0,0
04:04:28 Jan 06 2021,95,59,0,0,0
04:04:30 Jan 06 2021,95,66,0,0,0
04:04:32 Jan 06 2021,95,68,0,0,0
04:04:34 Jan 06 2021,95,69,0,0,0
04:04:36 Jan 06 2021,94,69,6,0,0
04:04:38 Jan 06 2021,94,66,1,0,0
04:04:40 Jan 06 2021,94,68,1,0,0
04:04:42 Jan 06 2021,94,68,0,0,0
04:04:44 Jan 06 2021,94,66,1,0,0
04:04:46 Jan 06 2021,94,61,7,0,0
04:04:48 Jan 06 2021,94,57,20,0,0
04:04:50 Jan 06 2021,94,56,0,0,0
04:04:52 Jan 06 2021,94,56,1,0,0
04:04:54 Jan 06 2021,94,56,0,0,0
04:04:56 Jan 06 2021,94,57,0,0,0
04:04:58 Jan 06 2021,94,57,0,0,0
04:05:00 Jan 06 2021,95,59,1,0,0
04:05:02 Jan 06 2021,95,60,0,0,0
04:05:04 Jan 06 2021,95,62,2,0,0
04:05:06 Jan 06 2021,95,62,6,0,0
04:05:08 Jan 06 2021,95,62,1,0,0
04:05:10 Jan 06 2021,95,64,0,0,0
04:05:12 Jan 06 2021,95,64,8,0,0
04:05:14 Jan 06 2021,95,64,1,0,0
04:05:16 Jan 06 2021,95,64,0,0,0
04:05:18 Jan 06 2021,95,64,0,0,0
04:05:20 Jan 06 2021,96,66,0,0,0
04:05:22 Jan 06 2021,96,66,0,0,0
04:05:24 Jan 06 2021,96,66,0,0,0
04:05:26 Jan 06 2021,96,66,0,0,0
04:05:28 Jan 06 2021,96,66,0,0,0
04:05:30 Jan 06 2021,97,65,0,0,0
04:05:32 Jan 06 2021,97,65,1,0,0
04:05:34 Jan 06 2021,97,59,0,0,0
04:05:36 Jan 06 2021,97,52,0,0,0
04:05:38 Jan 06 2021,97,51,0,0,0
04:05:40 Jan 06 2021,97,46,0,0,0
04:05:42 Jan 06 2021,96,44,0,0,0
04:05:44 Jan 06 2021,96,45,0,0,0
04:05:46 Jan 06 2021,96,43,0,0,0
04:05:48 Jan 06 2021,96,42,0,0,0
04:05:50 Jan 06 2021,97,42,0,0,0
04:05:52 Jan 06 2021,97,42,0,0,0
04:05:54 Jan 06 2021,97,42,1,0,0
04:05:56 Jan 06 2021,97,42,0,0,0
04:05:58 Jan 06 2021,97,42,1,0,0
